MGI:MGI:3045306	Exd1
MGI:MGI:3045301	Ankk1
MGI:MGI:1920977	Mcmbp
MGI:MGI:1328357	Unc119
MGI:MGI:1328356	Rad9a
MGI:MGI:1328355	Wfs1
MGI:MGI:1920955	Mark4
MGI:MGI:1328337	Orc1
MGI:MGI:1890430	Paxip1
MGI:MGI:3780199	Gm2030
MGI:MGI:1098779	Cdk2ap2
MGI:MGI:3780181	Gm2012
MGI:MGI:5434472	Gm21117
MGI:MGI:3780163	Gm1993
MGI:MGI:1098748	Ctdsp2
MGI:MGI:3691603	Mir744
MGI:MGI:1922097	Meikin
MGI:MGI:2685619	Gm773
MGI:MGI:1922075	Senp6
MGI:MGI:1922066	Tpr
MGI:MGI:97599	Prkce
MGI:MGI:97598	Prkcd
MGI:MGI:97595	Prkca
MGI:MGI:97594	Prkacb
MGI:MGI:97592	Prkaca
MGI:MGI:2443306	Tom1l2
MGI:MGI:97587	Pim2
MGI:MGI:97570	Abcb1a
MGI:MGI:1922038	E2f8
MGI:MGI:97531	Pdgfrb
MGI:MGI:95281	Ect2
MGI:MGI:1353438	Mapk12
MGI:MGI:3045258	Stard9
MGI:MGI:105120	Dusp1
MGI:MGI:2141942	Ccp110
MGI:MGI:2442276	Nek11
MGI:MGI:1919686	Tbcd
MGI:MGI:1919668	Thoc1
MGI:MGI:1919665	Sgo1
MGI:MGI:1924315	Ints7
MGI:MGI:1919650	Pinx1
MGI:MGI:99844	Gem
MGI:MGI:1919641	Cdkn3
MGI:MGI:106581	Tsg101
MGI:MGI:1095413	Lfng
MGI:MGI:1095411	Nup214
MGI:MGI:1095410	Tuba4a
MGI:MGI:2144471	Tada2a
MGI:MGI:1095409	Tuba1c
MGI:MGI:1095406	Tuba3a
MGI:MGI:107472	Clgn
MGI:MGI:1298386	Tpd52l1
MGI:MGI:107440	Cep131
MGI:MGI:894697	Rad54l
MGI:MGI:894680	Bach1
MGI:MGI:1858916	Sept1
MGI:MGI:894678	Aurka
MGI:MGI:107410	Zbtb17
MGI:MGI:1929883	Bin3
MGI:MGI:1929881	Smoc2
MGI:MGI:1860775	Actr8
MGI:MGI:1860764	Pde3a
MGI:MGI:2442293	Usp28
MGI:MGI:88327	Cd28
MGI:MGI:2442208	Map9
MGI:MGI:1924285	Kdm8
MGI:MGI:2150020	Rad51c
MGI:MGI:2145349	Cdk20
MGI:MGI:1924261	Ticrr
MGI:MGI:1919599	Dusp3
MGI:MGI:3612242	Ccdc36
MGI:MGI:1278339	Dgkz
MGI:MGI:1919069	Kif23
MGI:MGI:2385046	Slc26a8
MGI:MGI:87859	Abl1
MGI:MGI:99240	Ddx39b
MGI:MGI:1099818	Pkd2
MGI:MGI:1934606	Alms1
MGI:MGI:99213	Zfy2
MGI:MGI:1342540	Ikzf1
MGI:MGI:2385088	Smc5
MGI:MGI:2446977	Kif18a
MGI:MGI:3802008	Gm14525
MGI:MGI:1929270	Dstn
MGI:MGI:1917851	Ecd
MGI:MGI:98371	Sox9
MGI:MGI:1860140	Btg4
MGI:MGI:2687283	Pld6
MGI:MGI:1917820	Tent4b
MGI:MGI:1917806	Slc25a33
MGI:MGI:2675859	Wapl
MGI:MGI:1298227	Mcm6
MGI:MGI:1298218	Lrp6
MGI:MGI:1890811	Npm2
MGI:MGI:1914241	Khdc3
MGI:MGI:1333753	Pdcd6ip
MGI:MGI:2385076	Haus1
MGI:MGI:2685723	Ccnjl
MGI:MGI:1927345	Xrcc2
MGI:MGI:2180122	Klhl9
MGI:MGI:1338944	Acvr1b
MGI:MGI:108402	Slbp
MGI:MGI:97995	Rny1
MGI:MGI:1860086	Crlf3
MGI:MGI:1860077	Msh4
MGI:MGI:1345190	Tpra1
MGI:MGI:1922428	Meiob
MGI:MGI:1917760	Rnf167
MGI:MGI:1889507	Pidd1
MGI:MGI:2675669	Nusap1
MGI:MGI:97810	Ptprc
MGI:MGI:2675387	Nanos3
MGI:MGI:98495	Tbx3
